Indicator,Country,Percentage
SH.STA.DIRH.Q1.ZS,AFG,30.1
SH.STA.DIRH.Q1.ZS,BFA,18.7
SH.STA.DIRH.Q1.ZS,BDI,30.5
SH.STA.DIRH.Q1.ZS,CAF,25
SH.STA.DIRH.Q1.ZS,TCD,25.3
SH.STA.DIRH.Q1.ZS,COD,15.9
SH.STA.DIRH.Q1.ZS,ERI,16
SH.STA.DIRH.Q1.ZS,ETH,12.7
SH.STA.DIRH.Q1.ZS,GMB,27.1
SH.STA.DIRH.Q1.ZS,GNB,6.3
SH.STA.DIRH.Q1.ZS,LBR,19.5
SH.STA.DIRH.Q1.ZS,MDG,12.6
SH.STA.DIRH.Q1.ZS,MWI,28.7
SH.STA.DIRH.Q1.ZS,MLI,23.2
SH.STA.DIRH.Q1.ZS,MOZ,13
SH.STA.DIRH.Q1.ZS,NER,17.3
SH.STA.DIRH.Q1.ZS,RWA,21.1
SH.STA.DIRH.Q1.ZS,SLE,7
SH.STA.DIRH.Q1.ZS,SOM,25.9
SH.STA.DIRH.Q1.ZS,SSD,35.9
SH.STA.DIRH.Q1.ZS,SDN,26.5
SH.STA.DIRH.Q1.ZS,SYR,8.9
SH.STA.DIRH.Q1.ZS,TGO,23.5
SH.STA.DIRH.Q1.ZS,UGA,30.2
SH.STA.DIRH.Q1.ZS,YEM,39.5
SH.STA.DIRH.Q5.ZS,AFG,35.7
SH.STA.DIRH.Q5.ZS,BFA,21.3
SH.STA.DIRH.Q5.ZS,BDI,21.3
SH.STA.DIRH.Q5.ZS,CAF,23.3
SH.STA.DIRH.Q5.ZS,TCD,26.3
SH.STA.DIRH.Q5.ZS,COD,11.2
SH.STA.DIRH.Q5.ZS,ERI,11.6
SH.STA.DIRH.Q5.ZS,ETH,14.6
SH.STA.DIRH.Q5.ZS,GMB,22.3
SH.STA.DIRH.Q5.ZS,GNB,11.3
SH.STA.DIRH.Q5.ZS,LBR,18.8
SH.STA.DIRH.Q5.ZS,MDG,12.8
SH.STA.DIRH.Q5.ZS,MWI,25.6
SH.STA.DIRH.Q5.ZS,MLI,18.3
SH.STA.DIRH.Q5.ZS,MOZ,15.6
SH.STA.DIRH.Q5.ZS,NER,20.5
SH.STA.DIRH.Q5.ZS,RWA,11
SH.STA.DIRH.Q5.ZS,SLE,6.5
SH.STA.DIRH.Q5.ZS,SOM,13.6
SH.STA.DIRH.Q5.ZS,SSD,31.7
SH.STA.DIRH.Q5.ZS,SDN,29.6
SH.STA.DIRH.Q5.ZS,SYR,5.9
SH.STA.DIRH.Q5.ZS,TGO,11.3
SH.STA.DIRH.Q5.ZS,UGA,22.3
SH.STA.DIRH.Q5.ZS,YEM,30.5
