Indicator,Country,Percentage
SH.STA.ORHF.Q1.ZS,AFG,43.3
SH.STA.ORHF.Q1.ZS,BFA,65.8
SH.STA.ORHF.Q1.ZS,BDI,51.7
SH.STA.ORHF.Q1.ZS,CAF,44.7
SH.STA.ORHF.Q1.ZS,TCD,24.4
SH.STA.ORHF.Q1.ZS,COD,43.1
SH.STA.ORHF.Q1.ZS,ERI,37.4
SH.STA.ORHF.Q1.ZS,ETH,55.8
SH.STA.ORHF.Q1.ZS,GMB,31.7
SH.STA.ORHF.Q1.ZS,GNB,68.1
SH.STA.ORHF.Q1.ZS,LBR,35.3
SH.STA.ORHF.Q1.ZS,MDG,56.4
SH.STA.ORHF.Q1.ZS,MWI,21.9
SH.STA.ORHF.Q1.ZS,MLI,59.4
SH.STA.ORHF.Q1.ZS,MOZ,55.3
SH.STA.ORHF.Q1.ZS,NER,54.2
SH.STA.ORHF.Q1.ZS,RWA,60.4
SH.STA.ORHF.Q1.ZS,SLE,9.9
SH.STA.ORHF.Q1.ZS,SDN,87.7
SH.STA.ORHF.Q1.ZS,TGO,48
SH.STA.ORHF.Q1.ZS,UGA,46
SH.STA.ORHF.Q1.ZS,YEM,41.4
SH.STA.ORHF.Q5.ZS,AFG,41.3
SH.STA.ORHF.Q5.ZS,BFA,42.6
SH.STA.ORHF.Q5.ZS,BDI,41.3
SH.STA.ORHF.Q5.ZS,CAF,53.9
SH.STA.ORHF.Q5.ZS,TCD,40.6
SH.STA.ORHF.Q5.ZS,COD,40.3
SH.STA.ORHF.Q5.ZS,ERI,12.7
SH.STA.ORHF.Q5.ZS,ETH,42
SH.STA.ORHF.Q5.ZS,GMB,30.5
SH.STA.ORHF.Q5.ZS,GNB,70.4
SH.STA.ORHF.Q5.ZS,LBR,30.1
SH.STA.ORHF.Q5.ZS,MDG,39.9
SH.STA.ORHF.Q5.ZS,MWI,24.6
SH.STA.ORHF.Q5.ZS,MLI,55.7
SH.STA.ORHF.Q5.ZS,MOZ,33.4
SH.STA.ORHF.Q5.ZS,NER,37.6
SH.STA.ORHF.Q5.ZS,RWA,59.5
SH.STA.ORHF.Q5.ZS,SLE,11.6
SH.STA.ORHF.Q5.ZS,SDN,95.1
SH.STA.ORHF.Q5.ZS,TGO,60.1
SH.STA.ORHF.Q5.ZS,UGA,39.8
SH.STA.ORHF.Q5.ZS,YEM,44.5
