Indicator,Country,Percentage
SH.STA.DIRH.Q1.ZS,AGO,18.6
SH.STA.DIRH.Q1.ZS,BGD,8.4
SH.STA.DIRH.Q1.ZS,BEN,14.8
SH.STA.DIRH.Q1.ZS,BTN,26.3
SH.STA.DIRH.Q1.ZS,BOL,36.1
SH.STA.DIRH.Q1.ZS,KHM,20.3
SH.STA.DIRH.Q1.ZS,CMR,11.7
SH.STA.DIRH.Q1.ZS,COM,18.9
SH.STA.DIRH.Q1.ZS,COG,19.5
SH.STA.DIRH.Q1.ZS,CIV,16
SH.STA.DIRH.Q1.ZS,EGY,22.9
SH.STA.DIRH.Q1.ZS,SWZ,17.2
SH.STA.DIRH.Q1.ZS,GHA,21.4
SH.STA.DIRH.Q1.ZS,GIN,16.1
SH.STA.DIRH.Q1.ZS,HTI,28.7
SH.STA.DIRH.Q1.ZS,HND,14.1
SH.STA.DIRH.Q1.ZS,IND,11
SH.STA.DIRH.Q1.ZS,JOR,14.7
SH.STA.DIRH.Q1.ZS,KEN,23.2
SH.STA.DIRH.Q1.ZS,KIR,12.8
SH.STA.DIRH.Q1.ZS,KGZ,9.9
SH.STA.DIRH.Q1.ZS,LAO,7.9
SH.STA.DIRH.Q1.ZS,LSO,8.4
SH.STA.DIRH.Q1.ZS,MRT,18.1
SH.STA.DIRH.Q1.ZS,MAR,17.8
SH.STA.DIRH.Q1.ZS,MMR,14.9
SH.STA.DIRH.Q1.ZS,NPL,14.8
SH.STA.DIRH.Q1.ZS,NIC,21.1
SH.STA.DIRH.Q1.ZS,NGA,22.5
SH.STA.DIRH.Q1.ZS,PAK,20.4
SH.STA.DIRH.Q1.ZS,PNG,15.6
SH.STA.DIRH.Q1.ZS,PHL,9.4
SH.STA.DIRH.Q1.ZS,WSM,5.4
SH.STA.DIRH.Q1.ZS,STP,22.4
SH.STA.DIRH.Q1.ZS,SEN,15.6
SH.STA.DIRH.Q1.ZS,TJK,19.1
SH.STA.DIRH.Q1.ZS,TZA,11.7
SH.STA.DIRH.Q1.ZS,TLS,9.3
SH.STA.DIRH.Q1.ZS,TUN,9.5
SH.STA.DIRH.Q1.ZS,UZB,3.9
SH.STA.DIRH.Q1.ZS,VUT,11.4
SH.STA.DIRH.Q1.ZS,VNM,15.4
SH.STA.DIRH.Q1.ZS,PSE,12.6
SH.STA.DIRH.Q1.ZS,ZMB,24
SH.STA.DIRH.Q1.ZS,ZWE,15.1
SH.STA.DIRH.Q5.ZS,AGO,22.2
SH.STA.DIRH.Q5.ZS,BGD,5.5
SH.STA.DIRH.Q5.ZS,BEN,9.5
SH.STA.DIRH.Q5.ZS,BTN,18.8
SH.STA.DIRH.Q5.ZS,BOL,23.9
SH.STA.DIRH.Q5.ZS,KHM,15.1
SH.STA.DIRH.Q5.ZS,CMR,14.9
SH.STA.DIRH.Q5.ZS,COM,19.3
SH.STA.DIRH.Q5.ZS,COG,12.6
SH.STA.DIRH.Q5.ZS,CIV,12.8
SH.STA.DIRH.Q5.ZS,EGY,13.5
SH.STA.DIRH.Q5.ZS,SWZ,11.1
SH.STA.DIRH.Q5.ZS,GHA,9.9
SH.STA.DIRH.Q5.ZS,GIN,17.9
SH.STA.DIRH.Q5.ZS,HTI,23.1
SH.STA.DIRH.Q5.ZS,HND,10.4
SH.STA.DIRH.Q5.ZS,IND,6.2
SH.STA.DIRH.Q5.ZS,JOR,13
SH.STA.DIRH.Q5.ZS,KEN,13
SH.STA.DIRH.Q5.ZS,KIR,11.9
SH.STA.DIRH.Q5.ZS,KGZ,3.5
SH.STA.DIRH.Q5.ZS,LAO,4.6
SH.STA.DIRH.Q5.ZS,LSO,8.4
SH.STA.DIRH.Q5.ZS,MRT,11.1
SH.STA.DIRH.Q5.ZS,MAR,14.4
SH.STA.DIRH.Q5.ZS,MMR,9.9
SH.STA.DIRH.Q5.ZS,NPL,5.6
SH.STA.DIRH.Q5.ZS,NIC,9.4
SH.STA.DIRH.Q5.ZS,NGA,8
SH.STA.DIRH.Q5.ZS,PAK,23.4
SH.STA.DIRH.Q5.ZS,PNG,20.7
SH.STA.DIRH.Q5.ZS,PHL,4.4
SH.STA.DIRH.Q5.ZS,WSM,3.2
SH.STA.DIRH.Q5.ZS,STP,16
SH.STA.DIRH.Q5.ZS,SEN,17.1
SH.STA.DIRH.Q5.ZS,TJK,13.3
SH.STA.DIRH.Q5.ZS,TZA,18.4
SH.STA.DIRH.Q5.ZS,TLS,16
SH.STA.DIRH.Q5.ZS,TUN,5.2
SH.STA.DIRH.Q5.ZS,UZB,8.9
SH.STA.DIRH.Q5.ZS,VUT,12.5
SH.STA.DIRH.Q5.ZS,VNM,5.2
SH.STA.DIRH.Q5.ZS,PSE,10.1
SH.STA.DIRH.Q5.ZS,ZMB,17.4
SH.STA.DIRH.Q5.ZS,ZWE,12.4
