Indicator,Country,Percentage
SH.STA.ORHF.Q1.ZS,AGO,64.1
SH.STA.ORHF.Q1.ZS,BGD,72
SH.STA.ORHF.Q1.ZS,BEN,68.3
SH.STA.ORHF.Q1.ZS,BOL,41.7
SH.STA.ORHF.Q1.ZS,KHM,43.7
SH.STA.ORHF.Q1.ZS,CMR,77.3
SH.STA.ORHF.Q1.ZS,COM,40.3
SH.STA.ORHF.Q1.ZS,COG,43.5
SH.STA.ORHF.Q1.ZS,CIV,52
SH.STA.ORHF.Q1.ZS,EGY,61.3
SH.STA.ORHF.Q1.ZS,SWZ,96.6
SH.STA.ORHF.Q1.ZS,GHA,55.3
SH.STA.ORHF.Q1.ZS,GIN,50.5
SH.STA.ORHF.Q1.ZS,HTI,45.5
SH.STA.ORHF.Q1.ZS,HND,55.4
SH.STA.ORHF.Q1.ZS,IND,33.4
SH.STA.ORHF.Q1.ZS,JOR,42.3
SH.STA.ORHF.Q1.ZS,KEN,31.5
SH.STA.ORHF.Q1.ZS,KIR,69.8
SH.STA.ORHF.Q1.ZS,KGZ,67.5
SH.STA.ORHF.Q1.ZS,LAO,53.9
SH.STA.ORHF.Q1.ZS,LSO,70.6
SH.STA.ORHF.Q1.ZS,MRT,80.2
SH.STA.ORHF.Q1.ZS,MAR,56.9
SH.STA.ORHF.Q1.ZS,MMR,31.2
SH.STA.ORHF.Q1.ZS,NPL,77.7
SH.STA.ORHF.Q1.ZS,NIC,38.6
SH.STA.ORHF.Q1.ZS,NGA,55.5
SH.STA.ORHF.Q1.ZS,PAK,56.8
SH.STA.ORHF.Q1.ZS,PNG,47.6
SH.STA.ORHF.Q1.ZS,PHL,38.4
SH.STA.ORHF.Q1.ZS,STP,56.4
SH.STA.ORHF.Q1.ZS,SEN,39.9
SH.STA.ORHF.Q1.ZS,TJK,32.8
SH.STA.ORHF.Q1.ZS,TZA,54.7
SH.STA.ORHF.Q1.ZS,TLS,25.4
SH.STA.ORHF.Q1.ZS,TUN,44.2
SH.STA.ORHF.Q1.ZS,VNM,62.9
SH.STA.ORHF.Q1.ZS,PSE,63.8
SH.STA.ORHF.Q1.ZS,ZMB,24.7
SH.STA.ORHF.Q1.ZS,ZWE,73.9
SH.STA.ORHF.Q5.ZS,AGO,28.3
SH.STA.ORHF.Q5.ZS,BGD,72.4
SH.STA.ORHF.Q5.ZS,BEN,51.2
SH.STA.ORHF.Q5.ZS,BOL,25
SH.STA.ORHF.Q5.ZS,KHM,38.6
SH.STA.ORHF.Q5.ZS,CMR,41.9
SH.STA.ORHF.Q5.ZS,COM,24.1
SH.STA.ORHF.Q5.ZS,COG,61.5
SH.STA.ORHF.Q5.ZS,CIV,69.4
SH.STA.ORHF.Q5.ZS,EGY,56.9
SH.STA.ORHF.Q5.ZS,SWZ,86.6
SH.STA.ORHF.Q5.ZS,GHA,63.8
SH.STA.ORHF.Q5.ZS,GIN,30.6
SH.STA.ORHF.Q5.ZS,HTI,26.6
SH.STA.ORHF.Q5.ZS,HND,68.7
SH.STA.ORHF.Q5.ZS,IND,27.2
SH.STA.ORHF.Q5.ZS,JOR,13.9
SH.STA.ORHF.Q5.ZS,KEN,25.7
SH.STA.ORHF.Q5.ZS,KIR,78.1
SH.STA.ORHF.Q5.ZS,KGZ,68.1
SH.STA.ORHF.Q5.ZS,LAO,76
SH.STA.ORHF.Q5.ZS,LSO,22.6
SH.STA.ORHF.Q5.ZS,MRT,56.7
SH.STA.ORHF.Q5.ZS,MAR,42.9
SH.STA.ORHF.Q5.ZS,MMR,27
SH.STA.ORHF.Q5.ZS,NPL,80.4
SH.STA.ORHF.Q5.ZS,NIC,23
SH.STA.ORHF.Q5.ZS,NGA,29.6
SH.STA.ORHF.Q5.ZS,PAK,52.4
SH.STA.ORHF.Q5.ZS,PNG,24.5
SH.STA.ORHF.Q5.ZS,PHL,43.7
SH.STA.ORHF.Q5.ZS,STP,46.5
SH.STA.ORHF.Q5.ZS,SEN,67.2
SH.STA.ORHF.Q5.ZS,TJK,21.5
SH.STA.ORHF.Q5.ZS,TZA,37.9
SH.STA.ORHF.Q5.ZS,TLS,22.4
SH.STA.ORHF.Q5.ZS,TUN,86.6
SH.STA.ORHF.Q5.ZS,VNM,72.3
SH.STA.ORHF.Q5.ZS,PSE,68
SH.STA.ORHF.Q5.ZS,ZMB,17.8
SH.STA.ORHF.Q5.ZS,ZWE,57.2
