Indicator,Country,Percentage
SH.STA.DIRH.Q1.ZS,ALB,9.5
SH.STA.DIRH.Q1.ZS,DZA,6.1
SH.STA.DIRH.Q1.ZS,ARG,10
SH.STA.DIRH.Q1.ZS,ARM,5.6
SH.STA.DIRH.Q1.ZS,AZE,16.1
SH.STA.DIRH.Q1.ZS,BLZ,7.9
SH.STA.DIRH.Q1.ZS,BIH,6.9
SH.STA.DIRH.Q1.ZS,BRA,22.8
SH.STA.DIRH.Q1.ZS,COL,21
SH.STA.DIRH.Q1.ZS,CRI,13.9
SH.STA.DIRH.Q1.ZS,DOM,22.4
SH.STA.DIRH.Q1.ZS,SLV,14.7
SH.STA.DIRH.Q1.ZS,GAB,20.8
SH.STA.DIRH.Q1.ZS,GEO,14.9
SH.STA.DIRH.Q1.ZS,GTM,22.7
SH.STA.DIRH.Q1.ZS,IDN,18.7
SH.STA.DIRH.Q1.ZS,IRQ,15.3
SH.STA.DIRH.Q1.ZS,JAM,5.9
SH.STA.DIRH.Q1.ZS,KAZ,1.1
SH.STA.DIRH.Q1.ZS,XKX,11.2
SH.STA.DIRH.Q1.ZS,MDV,4.6
SH.STA.DIRH.Q1.ZS,MEX,10.2
SH.STA.DIRH.Q1.ZS,MDA,4.1
SH.STA.DIRH.Q1.ZS,MNG,9
SH.STA.DIRH.Q1.ZS,MNE,3.5
SH.STA.DIRH.Q1.ZS,NAM,30.1
SH.STA.DIRH.Q1.ZS,MKD,8.7
SH.STA.DIRH.Q1.ZS,PRY,11.3
SH.STA.DIRH.Q1.ZS,PER,16.2
SH.STA.DIRH.Q1.ZS,SRB,10.5
SH.STA.DIRH.Q1.ZS,ZAF,13.5
SH.STA.DIRH.Q1.ZS,SUR,8.8
SH.STA.DIRH.Q1.ZS,THA,6
SH.STA.DIRH.Q1.ZS,TON,5.2
SH.STA.DIRH.Q1.ZS,TUR,32.5
SH.STA.DIRH.Q1.ZS,TKM,2.1
SH.STA.DIRH.Q5.ZS,ALB,4.5
SH.STA.DIRH.Q5.ZS,DZA,6.4
SH.STA.DIRH.Q5.ZS,ARG,7.9
SH.STA.DIRH.Q5.ZS,ARM,1.7
SH.STA.DIRH.Q5.ZS,AZE,12.2
SH.STA.DIRH.Q5.ZS,BLZ,3.4
SH.STA.DIRH.Q5.ZS,BIH,5.3
SH.STA.DIRH.Q5.ZS,BRA,9
SH.STA.DIRH.Q5.ZS,COL,9.3
SH.STA.DIRH.Q5.ZS,CRI,7.3
SH.STA.DIRH.Q5.ZS,DOM,14
SH.STA.DIRH.Q5.ZS,SLV,8.2
SH.STA.DIRH.Q5.ZS,GAB,10.5
SH.STA.DIRH.Q5.ZS,GEO,11.7
SH.STA.DIRH.Q5.ZS,GTM,20.8
SH.STA.DIRH.Q5.ZS,IDN,11.9
SH.STA.DIRH.Q5.ZS,IRQ,9.7
SH.STA.DIRH.Q5.ZS,JAM,4.3
SH.STA.DIRH.Q5.ZS,KAZ,2.2
SH.STA.DIRH.Q5.ZS,XKX,0
SH.STA.DIRH.Q5.ZS,MDV,3.3
SH.STA.DIRH.Q5.ZS,MEX,6
SH.STA.DIRH.Q5.ZS,MDA,8.8
SH.STA.DIRH.Q5.ZS,MNG,9.5
SH.STA.DIRH.Q5.ZS,MNE,2.6
SH.STA.DIRH.Q5.ZS,NAM,13.8
SH.STA.DIRH.Q5.ZS,MKD,4.1
SH.STA.DIRH.Q5.ZS,PRY,7.4
SH.STA.DIRH.Q5.ZS,PER,11.9
SH.STA.DIRH.Q5.ZS,SRB,7.8
SH.STA.DIRH.Q5.ZS,ZAF,9.2
SH.STA.DIRH.Q5.ZS,SUR,8.4
SH.STA.DIRH.Q5.ZS,THA,3.8
SH.STA.DIRH.Q5.ZS,TON,0.6
SH.STA.DIRH.Q5.ZS,TUR,15.1
SH.STA.DIRH.Q5.ZS,TKM,2.1
