Indicator,Country,Percentage
SH.STA.ORHF.Q1.ZS,ALB,46.1
SH.STA.ORHF.Q1.ZS,DZA,41.3
SH.STA.ORHF.Q1.ZS,ARG,85.9
SH.STA.ORHF.Q1.ZS,ARM,88.3
SH.STA.ORHF.Q1.ZS,AZE,34.5
SH.STA.ORHF.Q1.ZS,BRA,44.4
SH.STA.ORHF.Q1.ZS,COL,33
SH.STA.ORHF.Q1.ZS,CRI,77.8
SH.STA.ORHF.Q1.ZS,DOM,58.7
SH.STA.ORHF.Q1.ZS,GAB,36.2
SH.STA.ORHF.Q1.ZS,GEO,42.4
SH.STA.ORHF.Q1.ZS,GTM,38.7
SH.STA.ORHF.Q1.ZS,IDN,39.4
SH.STA.ORHF.Q1.ZS,IRQ,34.2
SH.STA.ORHF.Q1.ZS,KAZ,84.8
SH.STA.ORHF.Q1.ZS,MDV,10
SH.STA.ORHF.Q1.ZS,MEX,84.4
SH.STA.ORHF.Q1.ZS,MDA,49.6
SH.STA.ORHF.Q1.ZS,MNG,75.2
SH.STA.ORHF.Q1.ZS,NAM,27.4
SH.STA.ORHF.Q1.ZS,PRY,82.4
SH.STA.ORHF.Q1.ZS,PER,39.7
SH.STA.ORHF.Q1.ZS,ZAF,16.3
SH.STA.ORHF.Q1.ZS,SUR,63.3
SH.STA.ORHF.Q1.ZS,THA,83.1
SH.STA.ORHF.Q1.ZS,TUR,77.8
SH.STA.ORHF.Q1.ZS,TKM,81.6
SH.STA.ORHF.Q5.ZS,ALB,79.3
SH.STA.ORHF.Q5.ZS,DZA,47.2
SH.STA.ORHF.Q5.ZS,ARG,91
SH.STA.ORHF.Q5.ZS,ARM,7.6
SH.STA.ORHF.Q5.ZS,AZE,55.3
SH.STA.ORHF.Q5.ZS,BRA,70.7
SH.STA.ORHF.Q5.ZS,COL,17.6
SH.STA.ORHF.Q5.ZS,CRI,86.6
SH.STA.ORHF.Q5.ZS,DOM,72.2
SH.STA.ORHF.Q5.ZS,GAB,40.1
SH.STA.ORHF.Q5.ZS,GEO,44.6
SH.STA.ORHF.Q5.ZS,GTM,31.2
SH.STA.ORHF.Q5.ZS,IDN,31.9
SH.STA.ORHF.Q5.ZS,IRQ,76.2
SH.STA.ORHF.Q5.ZS,KAZ,50.4
SH.STA.ORHF.Q5.ZS,MDV,100
SH.STA.ORHF.Q5.ZS,MEX,92.2
SH.STA.ORHF.Q5.ZS,MDA,30.4
SH.STA.ORHF.Q5.ZS,MNG,88
SH.STA.ORHF.Q5.ZS,NAM,21.2
SH.STA.ORHF.Q5.ZS,PRY,58.6
SH.STA.ORHF.Q5.ZS,PER,25.2
SH.STA.ORHF.Q5.ZS,ZAF,21.1
SH.STA.ORHF.Q5.ZS,SUR,70.1
SH.STA.ORHF.Q5.ZS,THA,83.8
SH.STA.ORHF.Q5.ZS,TUR,74.8
SH.STA.ORHF.Q5.ZS,TKM,62.5
